Taxon_Loca,occurrence,catalogNum,occurren_1,recordedBy,individual,sex,occurren_2,previousId,associated,taxonID,scientific,kingdom,phylum,class,order,suborder,infraorder,superfamil,family,genus,subgenus,specificEp,infraspeci,taxonRank,island,country,countryCod,stateProvi,locality,verbatimDe,decimalLat,decimalLon,coordinate,georeferen,georefer_1,georefer_2,georefer_3,identifica,identifi_1,samplingPr,eventDate,eventTime,year,month,day,fieldNumbe,eventRemar,bibliograp,institutio,collection,datasetNam,basisOfRec,coast,site
"465156",imerss.org:iNat:24535513,NA,NA,Norah Brown,NA,NA,PRESENT,Arctonoe pulchra,NA,iNaturalist:465156,Arctonoe pulchra,Animalia,Annelida,Polychaeta,Phyllodocida,Aphroditiformia,NA,NA,Polynoidae,Arctonoe,NA,pulchra,NA,species,Galiano Island,Canada,CA,British Columbia,NA,NA,48.900399000000000,-123.407416999999995,"5",Andrew Simon,"interpretation of locality, and/or inference based on local knowledge and species ecology",corrected,"record mostly appears accurate; shunted slightly into nearby waters at Montague beach",NA,NA,NA,2019/05/04,13:20:18,"2019","5","4",NA,NA,NA,iNaturalist,NA,NA,HumanObservation,west,"7"
"71236",imerss.org:iNat:25586752,NA,NA,NA,NA,NA,PRESENT,Halosydna brevisetosa,NA,iNaturalist:71236,Halosydna brevisetosa,Animalia,Annelida,Polychaeta,Phyllodocida,Aphroditiformia,NA,NA,Polynoidae,Halosydna,NA,brevisetosa,NA,species,Galiano Island,Canada,CA,British Columbia,NA,NA,48.884596999999999,-123.321074999999993,"83",NA,NA,NA,NA,NA,NA,NA,2019/05/05,14:28:59,"2019","5","5",NA,NA,NA,iNaturalist,NA,NA,HumanObservation,east,"3"
"81791",imerss.org:PMLS:18406,NA,Count: few,Emily Adamczyk,NA,NA,PRESENT,Nereis spp.,NA,iNaturalist:81791,Nereis,Animalia,Annelida,Polychaeta,Phyllodocida,Nereidiformia,NA,NA,Nereididae,Nereis,NA,NA,NA,genus,Galiano Island,Canada,CA,British Columbia,Montague Harbour,"33",48.896354000000002,-123.403630000000007,"500",Emily Adamczyk,NA,NA,NA,NA,NA,NA,2019/05/04,12:00:00,"2019","5","4",NA,recorded as platynereis polychaetes,NA,PMLS,NA,Pacific Marine Life Survey Dive Records,HumanObservation,west,"7"
"81790",imerss.org:iNat:24714358,NA,NA,Lena Dietz Chiasson,NA,NA,PRESENT,Nereis vexillosa,NA,iNaturalist:81790,Nereis vexillosa,Animalia,Annelida,Polychaeta,Phyllodocida,Nereidiformia,NA,NA,Nereididae,Nereis,NA,vexillosa,NA,species,Galiano Island,Canada,CA,British Columbia,NA,NA,48.872227000000002,-123.310575999999998,"5",Lena Dietz Chiasson,NA,NA,NA,NA,NA,NA,2019/05/04,11:39:55,"2019","5","4",NA,NA,NA,iNaturalist,NA,NA,HumanObservation,east,"4"
"129876",imerss.org:iNat:24541323,NA,NA,Norah Brown,NA,NA,PRESENT,Platynereis bicanaliculata,NA,iNaturalist:129876,Platynereis bicanaliculata,Animalia,Annelida,Polychaeta,Phyllodocida,Nereidiformia,NA,NA,Nereididae,Platynereis,NA,bicanaliculata,NA,species,Galiano Island,Canada,CA,British Columbia,NA,NA,48.900405999999997,-123.407319999999999,"3",Andrew Simon,"interpretation of locality, and/or inference based on local knowledge and species ecology",corrected,"record mostly appears accurate; shunted slightly into nearby waters at Montague beach",NA,NA,NA,2019/05/04,14:26:39,"2019","5","4",NA,NA,NA,iNaturalist,NA,NA,HumanObservation,west,"7"
"129876",imerss.org:iNat:24749850,NA,NA,Emily Adamczyk,NA,NA,PRESENT,Platynereis bicanaliculata,NA,iNaturalist:129876,Platynereis bicanaliculata,Animalia,Annelida,Polychaeta,Phyllodocida,Nereidiformia,NA,NA,Nereididae,Platynereis,NA,bicanaliculata,NA,species,Galiano Island,Canada,CA,British Columbia,NA,NA,48.899617999999997,-123.408640000000005,"59",Emily Adamczyk,NA,NA,NA,NA,NA,NA,2019/05/04,05:21:00,"2019","5","4",NA,NA,NA,iNaturalist,NA,NA,HumanObservation,west,"7"
"129876",imerss.org:iNat:24769046,NA,NA,Kelly Fretwell,NA,NA,PRESENT,Platynereis bicanaliculata,NA,iNaturalist:129876,Platynereis bicanaliculata,Animalia,Annelida,Polychaeta,Phyllodocida,Nereidiformia,NA,NA,Nereididae,Platynereis,NA,bicanaliculata,NA,species,Galiano Island,Canada,CA,British Columbia,NA,NA,48.899624000000003,-123.409362999999999,"222",Kelly Fretwell,NA,NA,NA,NA,NA,NA,2019/05/04,14:29:00,"2019","5","4",NA,NA,NA,iNaturalist,NA,NA,HumanObservation,west,"7"
"129876",imerss.org:iNat:25199628,NA,NA,Aimee Pelletier,NA,NA,PRESENT,Platynereis bicanaliculata,NA,iNaturalist:129876,Platynereis bicanaliculata,Animalia,Annelida,Polychaeta,Phyllodocida,Nereidiformia,NA,NA,Nereididae,Platynereis,NA,bicanaliculata,NA,species,Galiano Island,Canada,CA,British Columbia,NA,NA,48.900379999999998,-123.407358000000002,"10",Andrew Simon,"interpretation of locality, and/or inference based on local knowledge and species ecology",corrected,"record mostly appears accurate; shunted slightly into nearby waters at Montague beach",NA,NA,NA,2019/05/04,12:46:30,"2019","5","4",NA,NA,NA,iNaturalist,NA,NA,HumanObservation,west,"7"
"131207",imerss.org:PMLS:18570,NA,NA,Stefania Gorgopa,"1",NA,PRESENT,Serpula columbiana,NA,iNaturalist:131207,Serpula columbiana,Animalia,Annelida,Polychaeta,Sabellida,NA,NA,NA,Serpulidae,Serpula,NA,columbiana,NA,species,Galiano Island,Canada,CA,British Columbia,Walker Rock,"48",48.928330000000003,-123.504829999999998,"500",Stefania Gorgopa,NA,NA,NA,Listed in older references as Serpula vermicularis which is a valid species but now restricted in range to Europe.,NA,NA,2019/05/04,15:30:00,"2019","5","4",NA,NA,NA,PMLS,NA,Pacific Marine Life Survey Dive Records,HumanObservation,west,"9"
"131207",imerss.org:iNat:30012078,NA,NA,Galiano observer,NA,NA,PRESENT,Serpula columbiana,NA,iNaturalist:131207,Serpula columbiana,Animalia,Annelida,Polychaeta,Sabellida,NA,NA,NA,Serpulidae,Serpula,NA,columbiana,NA,species,Galiano Island,Canada,CA,British Columbia,NA,NA,48.923515000000002,-123.494259000000000,"100",Galiano observer,NA,NA,NA,Listed in older references as Serpula vermicularis which is a valid species but now restricted in range to Europe.,NA,NA,2019/05/04,14:45:00,"2019","5","4",NA,NA,NA,iNaturalist,NA,NA,HumanObservation,west,"9"
