DB Number,Class,Order,Family,Subfamily,Genus,Species,Sp. Auth,Sex,Country,Prov,Location 1,Location 2,Location 3,Latitude,Longitude,Day,Month,Year,Collector,Habitat,Elevation,Collection Data,Additional Info,Determiner,Determiner Date,Storage
CREC-12318,Insecta,Coleoptera,Cantharidae,,Malthodes,sp.,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9433,-123.5118,27,5,2023,C.G. Ratzlaff,swept from grasses,,,,C.G. Ratzlaff,2023,Pinned
CREC-12319,Insecta,Coleoptera,Cantharidae,,Malthodes,sp.,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9433,-123.5118,27,5,2023,C.G. Ratzlaff,swept from grasses,,,,C.G. Ratzlaff,2023,Pinned
CREC-12314,Insecta,Coleoptera,Cantharidae,,Silis,sp.,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9439,-123.5164,27,5,2023,C.G. Ratzlaff,beat from Garry oak,,,,C.G. Ratzlaff,2023,Pinned
CREC-12315,Insecta,Coleoptera,Cantharidae,,Silis,sp.,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9447,-123.5136,27,5,2023,C.G. Ratzlaff,,,,,C.G. Ratzlaff,2023,Pinned
CREC-12316,Insecta,Coleoptera,Cantharidae,,Silis,sp.,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9433,-123.5118,27,5,2023,C.G. Ratzlaff,swept from grasses,,,,C.G. Ratzlaff,2023,Pinned
CREC-12243,Insecta,Coleoptera,Carabidae,Harpalinae,Pterostichus,amethystinus,Mannerheim,,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,,,,,C.G. Ratzlaff,2023,Pinned
CREC-12242,Insecta,Coleoptera,Carabidae,Harpalinae,Pterostichus,melanarius,(Illiger),,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,,,,Introduced; New species for Galiano,C.G. Ratzlaff,2023,Pinned
CREC-12249,Insecta,Coleoptera,Cerambycidae,Lepturinae,Pidonia,scripta,(LeConte),,Canada,BC,Galiano I.,Hunterston Farm,,48.9433,-123.5118,27,5,2023,C.G. Ratzlaff,swept from grasses,,,,C.G. Ratzlaff,2023,Pinned
CREC-12282,Insecta,Coleoptera,Chrysomelidae,Bruchinae,Bruchidius,villlosus,Fabricius,,Canada,BC,Galiano I.,Hunterston Farm,,48.9431,-123.5142,27,5,2023,C.G. Ratzlaff,at yarrow,,,,C.G. Ratzlaff,2023,Pinned
CREC-12283,Insecta,Coleoptera,Chrysomelidae,Bruchinae,Bruchidius,villlosus,Fabricius,,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,beat from western redcedar,,,,C.G. Ratzlaff,2023,Pinned
CREC-12270,Insecta,Coleoptera,Coccinellidae,Coccinellinae,Cycloneda,polita,Casey,,Canada,BC,Galiano I.,Hunterston Farm,,48.9447,-123.5136,27,5,2023,C.G. Ratzlaff,swept from grasses,,,,C.G. Ratzlaff,2023,Pinned
CREC-12274,Insecta,Coleoptera,Coccinellidae,Coccinellinae,Mulsantina,picta,(Randall),,Canada,BC,Galiano I.,Hunterston Farm,,48.9439,-123.5164,27,5,2023,C.G. Ratzlaff,beat from Douglas fir,,,,C.G. Ratzlaff,2023,Pinned
