"scientificName","scientificNameAuthorship","taxonID","kingdom","phylum","subphylum","class","order","suborder","infraorder","superfamily","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","institutionCode","collectionCode","catalogNumber","datasetName","occurrenceID","recordedBy","recordNumber","fieldNumber","eventDate","year","month","day","basisOfRecord","locality","locationRemarks","island","stateProvince","country","countryCode","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","georeferencedBy","georeferenceVerificationStatus","georeferenceProtocol","georeferenceRemarks","habitat","verbatimDepth","verbatimElevation","occurrenceStatus","samplingProtocol","occurrenceRemarks","individualCount","sex","establishmentMeans","provincialStatus","nationalStatus","identifiedBy","identificationQualifier","identificationRemarks","previousIdentifications","bibliographicCitation","associatedReferences"
"Achnanthes subconstricta","(F.Meister) K.Toyoda",1100778,"Chromista","Ochrophyta","","Bacillariophyceae","Mastogloiales","","","","Achnanthaceae","Achnanthes","","subconstricta","","species","iNaturalist","","50191595","","","Mark Webber","","",2010-07-26,"2010","07","26","HumanObservation","","","Galiano Island","British Columbia","Canada","CA","48.9775907552","-123.5687189624","68","","","","","","","","present","","","","","","unlisted","unlisted","","","","","",""
"Achnanthidium sp.","",345147,"Chromista","Ochrophyta","","Bacillariophyceae","Achnanthales","","","","Achnanthidiaceae","Achnanthidium","","","","genus","","","WEBBERETAL2022:42","Webber et al. 2022","","Mark Webber, Siobhan Schenck & Arjan van Asselt","","",2020-11-15,"2020","11","15","MaterialSample","Montague Harbour Marine Provincial Park (Hulq'umi'num: 'Sumnuw')","","Galiano Island","British Columbia","Canada","CA","48.9007144304362","-123.4079060638","50","","","Coordinates mapped based on precise location of study area","","","","","present","","","","","","unlisted","unlisted","","","","","",""
"Achnanthidium sp.","",345147,"Chromista","Ochrophyta","","Bacillariophyceae","Achnanthales","","","","Achnanthidiaceae","Achnanthidium","","","","genus","","","WEBBERETAL2022:43","Webber et al. 2022","","Mark Webber, Siobhan Schenck & Arjan van Asselt","","",2020-11-15,"2020","11","15","MaterialSample","Montague Harbour Marine Provincial Park (Hulq'umi'num: 'Sumnuw')","","Galiano Island","British Columbia","Canada","CA","48.9007144304362","-123.4079060638","50","","","Coordinates mapped based on precise location of study area","","","","","present","","","","","","unlisted","unlisted","","","","","",""
"Achnanthidium sp.","",345147,"Chromista","Ochrophyta","","Bacillariophyceae","Achnanthales","","","","Achnanthidiaceae","Achnanthidium","","","","genus","","","WEBBERETAL2022:44","Webber et al. 2022","","Mark Webber, Siobhan Schenck & Arjan van Asselt","","",2020-11-15,"2020","11","15","MaterialSample","Montague Harbour Marine Provincial Park (Hulq'umi'num: 'Sumnuw')","","Galiano Island","British Columbia","Canada","CA","48.9007144304362","-123.4079060638","50","","","Coordinates mapped based on precise location of study area","","","","","present","","","","","","unlisted","unlisted","","","","","",""
"Achnanthidium sp.","",345147,"Chromista","Ochrophyta","","Bacillariophyceae","Achnanthales","","","","Achnanthidiaceae","Achnanthidium","","","","genus","","","WEBBERETAL2022:45","Webber et al. 2022","","Mark Webber, Siobhan Schenck & Arjan van Asselt","","",2020-11-15,"2020","11","15","MaterialSample","Montague Harbour Marine Provincial Park (Hulq'umi'num: 'Sumnuw')","","Galiano Island","British Columbia","Canada","CA","48.9007144304362","-123.4079060638","50","","","Coordinates mapped based on precise location of study area","","","","","present","","","","","","unlisted","unlisted","","","","","",""
"Acrosiphonia coalita","(Ruprecht) Scagel, Garbary, Golden & M.W.Hawkes",429957,"Plantae","Chlorophyta","","Ulvophyceae","Ulotrichales","","","","Ulotrichaceae","Acrosiphonia","","coalita","","species","iNaturalist","","25859551","","","Bridgette Clarkston","","",2019-05-04,"2019","05","04","HumanObservation","","","Galiano Island","British Columbia","Canada","CA","48.9402552618","-123.5005989153","8","","","","","","","","present","","","","","","unlisted","unlisted","","","","","",""
"Acrosiphonia coalita","(Ruprecht) Scagel, Garbary, Golden & M.W.Hawkes",429957,"Plantae","Chlorophyta","","Ulvophyceae","Ulotrichales","","","","Ulotrichaceae","Acrosiphonia","","coalita","","species","iNaturalist","","72235835","","","Andrew Simon","","",2021-03-27,"2021","03","27","HumanObservation","","","Galiano Island","British Columbia","Canada","CA","48.8965688465","-123.3365295718","54","","","","","","","","present","","","","","","unlisted","unlisted","","","","","",""
"Acrosiphonia coalita","(Ruprecht) Scagel, Garbary, Golden & M.W.Hawkes",429957,"Plantae","Chlorophyta","","Ulvophyceae","Ulotrichales","","","","Ulotrichaceae","Acrosiphonia","","coalita","","species","iNaturalist","","72321490","","","Andrew Simon","","",2021-03-17,"2021","03","17","HumanObservation","","","Galiano Island","British Columbia","Canada","CA","48.9413016667","-123.5019483333","","","","","","","","","present","","","","","","unlisted","unlisted","","","","","",""
"Acrosiphonia coalita","(Ruprecht) Scagel, Garbary, Golden & M.W.Hawkes",429957,"Plantae","Chlorophyta","","Ulvophyceae","Ulotrichales","","","","Ulotrichaceae","Acrosiphonia","","coalita","","species","PMLS","","PMLS2021:106","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2009-06-12,"2009","06","12","HumanObservation","Spanish Hills Store","","Galiano Island","British Columbia","Canada","CA","48.99","-123.58","100","","","","","","84","","present","","","","","","unlisted","unlisted","","","","","",""
"Actinoptychus senarius","(Ehrenberg) Ehrenberg",475747,"Chromista","Ochrophyta","","Bacillariophyceae","Coscinodiscales","","","","Hemipeltaceae","Actinoptychus","","senarius","","species","iNaturalist","","4874664","","","Mark Webber","","",2010-09-12,"2010","09","12","HumanObservation","","","Galiano Island","British Columbia","Canada","CA","48.994591","-123.585992","174","","","","","","","","present","","","","","","unlisted","unlisted","","","","","",""
