"scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","firstReported","firstReportedBy","firstReportedSource","firstReportedCollectionNumber","firstReportedGBIF","lastReported","lastReportedBy","lastReportedSource","lastReportedCollectionNumber","lastReportedGBIF","recordCount","reportingStatus","iNatObservationStatus","notes","ID","statsCode"
"Acanthodoris atrogriseata","O'Donoghue, 1927","","gray pilose dorid","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Doridina","Onchidoridoidea","Onchidorididae","","","Acanthodoris","atrogriseata",,"",,"native","unlisted",,"2008-06-15","Andy Lamb","PMLS","",,"2009-03-20","Andy Lamb","PMLS","",,2,"confirmed","unobserved","reported as Acanthodoris pilosa (Abildgaard in Müller, 1789)",1080211,"MOL"
"Acanthodoris hudsoni","MacFarland, 1905","","Hudson's dorid","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Doridina","Onchidoridoidea","Onchidorididae","","","Acanthodoris","hudsoni",,"",,"native","unlisted",,"1994-10-23","Andy Lamb","PMLS","",,"2023-09-09","","iNaturalist","",,52,"confirmed","observed","",48447,"MOL"
"Acanthodoris lutea","MacFarland, 1925","","sandalwood dorid","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Doridina","Onchidoridoidea","Onchidorididae","","","Acanthodoris","lutea",,"",,"native","unlisted",,"2009-11-14","","iNaturalist","",,"2009-11-14","","iNaturalist","",,1,"reported","observed","",47472,"MOL"
"Acanthodoris nanaimoensis","O'Donoghue, 1921","","Nanaimo nudibranch","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Doridina","Onchidoridoidea","Onchidorididae","","","Acanthodoris","nanaimoensis",,"",,"native","unlisted",,"1994-10-07","Andy Lamb","PMLS","",,"2023-10-08","","iNaturalist","",,68,"confirmed","observed","",47476,"MOL"
"Acantholithodes hispidus","(Stimpson, 1860)","","hairy-spined crab","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Lithodoidea","Hapalogastridae","","","Acantholithodes","hispidus",,"",,"native","unlisted",,"1994-09-10","Andy Lamb","PMLS","",,"2022-05-06","","iNaturalist","",,33,"confirmed","observed","",450310,"ART"
"Acarnus erithacus","Laubenfels, 1927","","thick encrusting scarlet sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Poecilosclerida","","","Acarnidae","","","Acarnus","erithacus",,"",,"native","unlisted",,"2008-08-29","Andy Lamb","PMLS","",,"2015-01-01","Andy Lamb","PMLS","",,5,"confirmed","unobserved","",63669,"POR"
"Acila castrensis","(Hinds, 1843)","","nutclam or nutshell","Animalia","Mollusca","","","Bivalvia","Protobranchia","","Nuculida","","Nuculoidea","Nuculidae","","","Acila","castrensis",,"",,"native","unlisted",,"1959-12-11","Dan Quayle","RBCM","989-00278-001",,"1961-05-13","Dan Quayle","RBCM","982-00207-002",,2,"reported","unobserved","",339158,"MOL"
"Acipenser transmontanus","Richardson, 1836","","white sturgeon","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Acipenseriformes","","","Acipenseridae","","","Acipenser","transmontanus",,"",,"native","S2 (2018)","1-E","2023-06-24","","iNaturalist","",,"2023-06-24","","iNaturalist","",,1,"new 2023","observed","",93194,"FIS"
"Acmaea mitra","Rathke, 1833","","whitecap limpet","Animalia","Mollusca","","","Gastropoda","Patellogastropoda","","","","Lottioidea","Acmaeidae","","","Acmaea","mitra",,"",,"native","unlisted",,"1981-05-31","Andy Lamb","PMLS","",,"2022-06-14","","iNaturalist","",,59,"confirmed","observed","",47676,"MOL"
"Acteocina culcitella","(Gould, 1853)","","pillow barrel-bubble","Animalia","Mollusca","","","Gastropoda","Heterobranchia","","Cephalaspidea","","Bulloidea","Tornatinidae","","","Acteocina","culcitella",,"",,"native","unlisted",,"1961-06-22","Ian McTaggart-Cowan","RBCM","979-03320",,"1961-06-22","Ian McTaggart-Cowan","RBCM","979-03320",,1,"reported","unobserved","",49788,"MOL"
"Adalaria proxima","(Alder & Hancock, 1854)","","white adalaria","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Doridina","Onchidoridoidea","Onchidorididae","","","Adalaria","proxima",,"",,"native","unlisted",,"2009-11-15","","iNaturalist","",,"2009-11-15","","iNaturalist","",,1,"reported","observed","",508396,"MOL"
