Taxon_Local_ID,occurrenceID,catalogNumber,occurrenceRemarks,recordedBy,individualCount,sex,occurrenceStatus,previousIdentifications,associatedReferences,taxonID,scientificName,kingdom,phylum,class,order,suborder,infraorder,superfamily,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,island,country,countryCode,stateProvince,locality,verbatimDepth,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,georeferencedBy,georeferenceProtocol,georeferenceVerificationStatus,georeferenceRemarks,identificationRemarks,identificationQualifier,samplingProtocol,eventDate,eventTime,year,month,day,fieldNumber,eventRemarks,bibliographicCitation,institutionCode,collectionCode,datasetName,basisOfRecord
465156,imerss.org:iNat:24535513,NA,NA,Norah Brown,NA,NA,PRESENT,Arctonoe pulchra,NA,iNaturalist:465156,Arctonoe pulchra,Animalia,Annelida,Polychaeta,Phyllodocida,Aphroditiformia,NA,NA,Polynoidae,Arctonoe,NA,pulchra,NA,species,Galiano Island,Canada,CA,British Columbia,NA,NA,48.900399,-123.407417,5,Andrew Simon,"interpretation of locality, and/or inference based on local knowledge and species ecology",corrected,record mostly appears accurate; shunted slightly into nearby waters at Montague beach,NA,NA,NA,2019-05-04,13:20:18,2019,5,4,NA,NA,NA,iNaturalist,NA,NA,HumanObservation
71236,imerss.org:iNat:25586752,NA,NA,NA,NA,NA,PRESENT,Halosydna brevisetosa,NA,iNaturalist:71236,Halosydna brevisetosa,Animalia,Annelida,Polychaeta,Phyllodocida,Aphroditiformia,NA,NA,Polynoidae,Halosydna,NA,brevisetosa,NA,species,Galiano Island,Canada,CA,British Columbia,NA,NA,48.884597,-123.321075,83,NA,NA,NA,NA,NA,NA,NA,2019-05-05,14:28:59,2019,5,5,NA,NA,NA,iNaturalist,NA,NA,HumanObservation
81791,imerss.org:PMLS:18406,NA,Count: few,Emily Adamczyk,NA,NA,PRESENT,Nereis spp.,NA,iNaturalist:81791,Nereis,Animalia,Annelida,Polychaeta,Phyllodocida,Nereidiformia,NA,NA,Nereididae,Nereis,NA,NA,NA,genus,Galiano Island,Canada,CA,British Columbia,Montague Harbour,33,48.896354,-123.40363,500,Emily Adamczyk,NA,NA,NA,NA,NA,NA,2019-05-04,12:00:00,2019,5,4,NA,recorded as platynereis polychaetes,NA,PMLS,NA,Pacific Marine Life Survey Dive Records,HumanObservation
81790,imerss.org:iNat:24714358,NA,NA,Lena Dietz Chiasson,NA,NA,PRESENT,Nereis vexillosa,NA,iNaturalist:81790,Nereis vexillosa,Animalia,Annelida,Polychaeta,Phyllodocida,Nereidiformia,NA,NA,Nereididae,Nereis,NA,vexillosa,NA,species,Galiano Island,Canada,CA,British Columbia,NA,NA,48.872227,-123.310576,5,Lena Dietz Chiasson,NA,NA,NA,NA,NA,NA,2019-05-04,11:39:55,2019,5,4,NA,NA,NA,iNaturalist,NA,NA,HumanObservation
129876,imerss.org:iNat:24541323,NA,NA,Norah Brown,NA,NA,PRESENT,Platynereis bicanaliculata,NA,iNaturalist:129876,Platynereis bicanaliculata,Animalia,Annelida,Polychaeta,Phyllodocida,Nereidiformia,NA,NA,Nereididae,Platynereis,NA,bicanaliculata,NA,species,Galiano Island,Canada,CA,British Columbia,NA,NA,48.900406,-123.40732,3,Andrew Simon,"interpretation of locality, and/or inference based on local knowledge and species ecology",corrected,record mostly appears accurate; shunted slightly into nearby waters at Montague beach,NA,NA,NA,2019-05-04,14:26:39,2019,5,4,NA,NA,NA,iNaturalist,NA,NA,HumanObservation
129876,imerss.org:iNat:24749850,NA,NA,Emily Adamczyk,NA,NA,PRESENT,Platynereis bicanaliculata,NA,iNaturalist:129876,Platynereis bicanaliculata,Animalia,Annelida,Polychaeta,Phyllodocida,Nereidiformia,NA,NA,Nereididae,Platynereis,NA,bicanaliculata,NA,species,Galiano Island,Canada,CA,British Columbia,NA,NA,48.899618,-123.40864,59,Emily Adamczyk,NA,NA,NA,NA,NA,NA,2019-05-04,05:21:00,2019,5,4,NA,NA,NA,iNaturalist,NA,NA,HumanObservation
129876,imerss.org:iNat:24769046,NA,NA,Kelly Fretwell,NA,NA,PRESENT,Platynereis bicanaliculata,NA,iNaturalist:129876,Platynereis bicanaliculata,Animalia,Annelida,Polychaeta,Phyllodocida,Nereidiformia,NA,NA,Nereididae,Platynereis,NA,bicanaliculata,NA,species,Galiano Island,Canada,CA,British Columbia,NA,NA,48.899624,-123.409363,222,Kelly Fretwell,NA,NA,NA,NA,NA,NA,2019-05-04,14:29:00,2019,5,4,NA,NA,NA,iNaturalist,NA,NA,HumanObservation
129876,imerss.org:iNat:25199628,NA,NA,Aimee Pelletier,NA,NA,PRESENT,Platynereis bicanaliculata,NA,iNaturalist:129876,Platynereis bicanaliculata,Animalia,Annelida,Polychaeta,Phyllodocida,Nereidiformia,NA,NA,Nereididae,Platynereis,NA,bicanaliculata,NA,species,Galiano Island,Canada,CA,British Columbia,NA,NA,48.90038,-123.407358,10,Andrew Simon,"interpretation of locality, and/or inference based on local knowledge and species ecology",corrected,record mostly appears accurate; shunted slightly into nearby waters at Montague beach,NA,NA,NA,2019-05-04,12:46:30,2019,5,4,NA,NA,NA,iNaturalist,NA,NA,HumanObservation
131207,imerss.org:PMLS:18570,NA,NA,Stefania Gorgopa,1,NA,PRESENT,Serpula columbiana,NA,iNaturalist:131207,Serpula columbiana,Animalia,Annelida,Polychaeta,Sabellida,NA,NA,NA,Serpulidae,Serpula,NA,columbiana,NA,species,Galiano Island,Canada,CA,British Columbia,Walker Rock,48,48.92833,-123.50483,500,Stefania Gorgopa,NA,NA,NA,Listed in older references as Serpula vermicularis which is a valid species but now restricted in range to Europe.,NA,NA,2019-05-04,15:30:00,2019,5,4,NA,NA,NA,PMLS,NA,Pacific Marine Life Survey Dive Records,HumanObservation
131207,imerss.org:iNat:30012078,NA,NA,Galiano observer,NA,NA,PRESENT,Serpula columbiana,NA,iNaturalist:131207,Serpula columbiana,Animalia,Annelida,Polychaeta,Sabellida,NA,NA,NA,Serpulidae,Serpula,NA,columbiana,NA,species,Galiano Island,Canada,CA,British Columbia,NA,NA,48.923515,-123.494259,100,Galiano observer,NA,NA,NA,Listed in older references as Serpula vermicularis which is a valid species but now restricted in range to Europe.,NA,NA,2019-05-04,14:45:00,2019,5,4,NA,NA,NA,iNaturalist,NA,NA,HumanObservation
