id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,Id_2,Type,Site_Serie
"164058101",5/27/23 12:43,5/27/23,2023/05/27 19:43:46,America/Vancouver,"2244927",spencer115,Spencer Shields,2023/05/27 19:45:00,2023/05/27 19:53:55,needs_id,,https://www.inaturalist.org/observations/164058101,https://static.inaturalist.org/photos/283820612/medium.jpeg,,,,"0","0","0","2","Galiano Island, BC V0N, Canada",48.94371813,-123.5119853,"7",,,,"7",,open,"0",,,bay forget-me-not,Myosotis laxa,bay forget-me-not,Plantae,"78150","11",pond,
"164062175",5/27/23 13:04,5/27/23,2023/05/27 20:04:36,America/Vancouver,"2244927",spencer115,Spencer Shields,2023/05/27 20:05:21,2023/05/27 20:05:44,needs_id,,https://www.inaturalist.org/observations/164062175,https://static.inaturalist.org/photos/283825077/medium.jpeg,,,,"0","0","0","2","Galiano Island, BC V0N, Canada",48.94402162,-123.512257,"8",,,,"8",,,"0",,,rough goose neck moss,Hylocomiadelphus triquetrus,rough goose neck moss,Plantae,"1138381","11",pond,
"164063069",5/27/23 13:06,5/27/23,2023/05/27 20:06:17,America/Vancouver,"2244927",spencer115,Spencer Shields,2023/05/27 20:09:44,2023/05/27 20:19:28,research,,https://www.inaturalist.org/observations/164063069,https://static.inaturalist.org/photos/283827087/medium.jpeg,,,,"1","0","0","2","Galiano Island, BC V0N, Canada",48.94379105,-123.5122479,"7",,,,"7",,,"0",,,Western Rattlesnake Plantain,Goodyera oblongifolia,Western Rattlesnake Plantain,Plantae,"50719","11",pond,
"164063900",2023-05-27 12:51:48-07:00,5/27/23,2023/05/27 19:51:48,America/Vancouver,"1655484",andytaggartsmith,,2023/05/27 20:13:16,2023/05/31 23:36:14,research,CC-BY-NC,https://www.inaturalist.org/observations/164063900,https://inaturalist-open-data.s3.amazonaws.com/photos/283883136/medium.jpg,,,,"1","0","0","3","Capital, CA-BC, CA",48.9437358,-123.512084,"640",,,,"640",,,"0",,,vanilla leaf,Achlys triphylla,vanilla leaf,Plantae,"75263","11",pond,
"164063930",2023-05-27 12:52:22-07:00,5/27/23,2023/05/27 19:52:22,America/Vancouver,"1655484",andytaggartsmith,,2023/05/27 20:13:29,2023/05/31 23:36:06,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/164063930,https://inaturalist-open-data.s3.amazonaws.com/photos/283883202/medium.jpg,,,,"2","0","0","3","Capital, CA-BC, CA",48.94394608,-123.512234,"455",,,,"455",,,"0",,,alumroot tribe,Heuchereae,alumroot tribe,Plantae,"1424203","11",pond,
"164065118",5/27/23 13:18,5/27/23,2023/05/27 20:18:21,America/Vancouver,"2244927",spencer115,Spencer Shields,2023/05/27 20:19:00,2023/05/31 14:53:55,research,,https://www.inaturalist.org/observations/164065118,https://static.inaturalist.org/photos/283830413/medium.jpeg,,,,"1","0","0","2","Galiano Island, BC V0N, Canada",48.94381701,-123.511968,"5",,,,"5",,open,"0",,,western skunk cabbage,Lysichiton americanus,western skunk cabbage,Plantae,"48537","11",pond,
"164066089",2023-05-27 12:20:21-07:00,5/27/23,2023/05/27 19:20:21,America/Vancouver,"425556",tinnes,,2023/05/27 20:24:24,2023/05/27 20:25:41,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/164066089,https://inaturalist-open-data.s3.amazonaws.com/photos/283832591/medium.jpg,,,,"0","0","0","3","Saltspring Island, Capital, BC, CA",48.94395669,-123.5121993,"754",,,,"754",,,"0",,,,Marrubium vulgare,White Horehound,Plantae,"54605","11",pond,
"164066245",5/27/23 13:24,5/27/23,2023/05/27 20:24:23,America/Vancouver,"2244927",spencer115,Spencer Shields,2023/05/27 20:25:10,2023/05/29 14:30:35,needs_id,,https://www.inaturalist.org/observations/164066245,https://static.inaturalist.org/photos/283832506/medium.jpeg,,,,"0","0","0","2","Galiano Island, BC V0N, Canada",48.94375137,-123.5121496,"9",,,,"9",,open,"0",,,Common Vetch,Vicia sativa,Common Vetch,Plantae,"53324","11",pond,
"164067791",5/27/23 13:31,5/27/23,2023/05/27 20:31:54,America/Vancouver,"2244927",spencer115,Spencer Shields,2023/05/27 20:32:41,2023/05/27 20:36:59,needs_id,,https://www.inaturalist.org/observations/164067791,https://static.inaturalist.org/photos/283836727/medium.jpeg,,,,"0","0","0","2","Galiano Island, BC V0N, Canada",48.94369036,-123.5118415,"7",,,,"7",,,"0",,,Cutleaf Blackberry,Rubus laciniatus,Cutleaf Blackberry,Plantae,"78891","11",pond,
"164068211",2023-05-27 13:24:47-07:00,5/27/23,2023/05/27 20:24:47,America/Vancouver,"425556",tinnes,,2023/05/27 20:34:53,2023/06/05 18:59:01,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/164068211,https://inaturalist-open-data.s3.amazonaws.com/photos/283882339/medium.jpg,,,,"1","0","0","3","Trincomali Channel, Capital, BC, CA",48.94379965,-123.5119812,"65",,,,"65",,,"0",,,Duckweeds,Lemna,Duckweeds,Plantae,"54519","11",pond,
"164089155",2023-05-27 12:49:17-07:00,5/27/23,2023/05/27 19:49:17,America/Vancouver,"1655484",andytaggartsmith,,2023/05/27 22:24:09,2023/05/28 02:21:31,research,CC-BY-NC,https://www.inaturalist.org/observations/164089155,https://inaturalist-open-data.s3.amazonaws.com/photos/283874631/medium.jpg,,,,"1","0","0","3","Capital, CA-BC, CA",48.94373307,-123.5120771,"9",,,,"9",,,"0",,,spreading wood fern,Dryopteris expansa,spreading wood fern,Plantae,"64055","11",pond,
"164089785",2023-05-27 12:54:00-07:00,5/27/23,2023/05/27 19:54:00,America/Vancouver,"1655484",andytaggartsmith,,2023/05/27 22:27:52,2023/05/28 02:21:35,research,CC-BY-NC,https://www.inaturalist.org/observations/164089785,https://inaturalist-open-data.s3.amazonaws.com/photos/283883278/medium.jpg,,,,"1","0","0","3","Capital, CA-BC, CA",48.94379764,-123.5122135,"21",,,,"21",,,"0",,,common bracken,Pteridium aquilinum,common bracken,Plantae,"52681","11",pond,
"164091298",2023-05-27 12:59:00-07:00,5/27/23,2023/05/27 19:59:00,America/Vancouver,"1655484",andytaggartsmith,,2023/05/27 22:36:56,2023/05/27 22:37:16,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/164091298,https://inaturalist-open-data.s3.amazonaws.com/photos/283878575/medium.jpg,,,,"0","0","0","3","Galiano Island, Capital, BC, CA",48.94374968,-123.5119993,"139",,,,"139",,,"0",,,,Stellaria crispa,Crisp Starwort,Plantae,"79201","11",pond,
"164091374",2023-05-27 13:02:12-07:00,5/27/23,2023/05/27 20:02:12,America/Vancouver,"1655484",andytaggartsmith,,2023/05/27 22:37:21,2023/06/01 04:31:21,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/164091374,https://inaturalist-open-data.s3.amazonaws.com/photos/283878665/medium.jpg,,,,"0","0","0","3","Galiano Island, Capital, BC, CA",48.94390173,-123.5121929,"698",,,,"698",,,"0",,,Aulucomnium androgenum,Tetraphis pellucida,Tetraphis Moss,Plantae,"124385","11",pond,
"164091405",2023-05-27 13:04:23-07:00,5/27/23,2023/05/27 20:04:23,America/Vancouver,"1655484",andytaggartsmith,,2023/05/27 22:37:32,2023/05/27 22:37:41,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/164091405,https://inaturalist-open-data.s3.amazonaws.com/photos/283878718/medium.jpg,,,,"0","0","0","3","Galiano Island, Capital, BC, CA",48.94373479,-123.5121025,"77",,,,"77",,,"0",,,,Brachythecium,,Plantae,"67860","11",pond,
"164091458",2023-05-27 13:06:12-07:00,5/27/23,2023/05/27 20:06:12,America/Vancouver,"1655484",andytaggartsmith,,2023/05/27 22:37:43,2023/05/27 22:37:51,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/164091458,https://inaturalist-open-data.s3.amazonaws.com/photos/283878781/medium.jpg,,,,"0","0","0","3","Galiano Island, Capital, BC, CA",48.94384517,-123.5119954,"9",,,,"9",,open,"0",,,,Epilobium ciliatum,fringed willowherb,Plantae,"53050","11",pond,
"164091718",2023-05-27 13:16:52-07:00,5/27/23,2023/05/27 20:16:52,America/Vancouver,"1655484",andytaggartsmith,,2023/05/27 22:39:18,2023/06/01 04:30:34,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/164091718,https://inaturalist-open-data.s3.amazonaws.com/photos/283879339/medium.jpg,,,,"0","0","0","3","Capital, CA-BC, CA",48.94394015,-123.5121583,"751",,,,"751",,,"0",,,,Riccardia latifrons,Bog Germanderwort,Plantae,"56464","11",pond,
"164091737",2023-05-27 13:18:14-07:00,5/27/23,2023/05/27 20:18:14,America/Vancouver,"1655484",andytaggartsmith,,2023/05/27 22:39:28,2023/05/27 22:39:34,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/164091737,https://inaturalist-open-data.s3.amazonaws.com/photos/283879370/medium.jpg,,,,"0","0","0","3","Capital, CA-BC, CA",48.94385411,-123.5120406,"30",,,,"30",,,"0",,,,Rumex obtusifolius,broad-leaved dock,Plantae,"63371","11",pond,
"164092005",2023-05-27 13:25:46-07:00,5/27/23,2023/05/27 20:25:46,America/Vancouver,"1655484",andytaggartsmith,,2023/05/27 22:40:42,2023/05/27 22:52:24,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/164092005,https://inaturalist-open-data.s3.amazonaws.com/photos/283883447/medium.jpg,,,,"0","0","0","3","Galiano Island, Capital, BC, CA",48.94358855,-123.5117691,"10",,,,"10",,,"0",,,,Rubus parviflorus,thimbleberry,Plantae,"51646","11",pond,
